,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads,s15_avg_threads,s16_avg_threads,s17_avg_threads,s18_avg_threads,s19_avg_threads,s20_avg_threads,s21_avg_threads,s22_avg_threads,s23_avg_threads,s24_avg_threads,s25_avg_threads,s26_avg_threads,s27_avg_threads,s28_avg_threads,s29_avg_threads
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s21_avg_threads,1.8451742391286127e-14,0.0,0.0,0.024472596343298646,0.0,0.0,0.576970426660389,0.0,0.0,4.541861701151325e-14,0.0,0.0,3.428871785645417e-14,0.0,0.0,4.518349971614377e-15,0.0,0.0,3.4738505662389267e-15,0.0,0.0,0.0,0.0,0.0,6.088781053386005e-28,0.0,0.0,4.033064946259048e-15,0.029016973980629933,0.0
s22_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s23_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s24_avg_threads,0.004707955672755189,0.0,0.0,2.0279404173106086e-13,0.0,0.0,1.1696545738149987e-14,0.0,0.0,2.0521980897670116e-27,0.0,0.0,0.0008757989622174143,0.0,0.0,0.0,0.0,0.0,3.321664779208616e-14,0.0,0.0,6.088781053386005e-28,0.0,0.0,0.0,0.0,0.0,0.0,2.671644829032721e-13,0.0
s25_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s26_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s27_avg_threads,0.8256773731950087,0.0,0.0,0.3611899792793048,0.0,0.0,7.024258664932413e-15,0.0,0.0,0.02819812874881726,0.0,0.0,0.057339494312976885,0.0,0.0,0.004445707671413591,0.0,0.0,5.061266945252523e-13,0.0,0.0,4.033064946259048e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.31496973843872395,0.0
s28_avg_threads,0.6212840618010029,0.0,0.0,0.9968978892869009,0.0,0.0,0.22497777851693576,0.0,0.0,0.008895978954161738,0.0,0.0,0.010689231890916516,0.0,0.0,0.0014041409982425567,0.0,0.0,0.23993195070655776,0.0,0.0,0.029016973980629933,0.0,0.0,2.671644829032721e-13,0.0,0.0,0.31496973843872395,0.0,0.0
s29_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
